priority,equipment_id,equipment_category,finding,evidence,recommended_action,responsible_role,target_date,status
MEDIUM,134,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2026-01-09 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,138,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=60, data_completeness=42.9%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,145,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=84, data_completeness=47.6%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,146,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=7, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,148,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=81, data_completeness=23.8%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,149,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=54, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,149,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=66.0, last_change_point=2026-04-06 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,150,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=59, data_completeness=28.6%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,150,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-03-25 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,151,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-05-05 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,152,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=52, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,154,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=61, data_completeness=14.3%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,159,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-12-03 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,167,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-05-03 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,174,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=57, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,176,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=41, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,177,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=60, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,177,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2026-01-10 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,178,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=57, data_completeness=23.8%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,178,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-08-27 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,179,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-10-31 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,181,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2025-08-30 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,182,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=60, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,183,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2026-02-14 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,184,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=77, data_completeness=38.1%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,184,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-02-14 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,186,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=63, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,188,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=60, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,190,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=58, data_completeness=7.1%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,191,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-11-22 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,192,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-04-22 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,193,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-12-15 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,194,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=65, data_completeness=47.6%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,195,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=72.0, last_change_point=2026-02-14 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,198,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=61, data_completeness=31.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,200,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=26, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,208,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=69, data_completeness=9.5%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,210,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=73, data_completeness=33.3%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,23,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,27,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-03-24 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,28,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-03-23 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,3,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-01-18 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,30,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=66.0, last_change_point=2026-03-25 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,31,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-03-20 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,33,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=63.0, last_change_point=2026-03-23 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,39,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=57.0, last_change_point=2026-03-20 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,4,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-04-01 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,43,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-06-10 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,45,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2025-12-15 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,47,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-03-24 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,48,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2026-03-26 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,49,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=90.0, last_change_point=2026-03-22 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,52,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-03-17 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,6,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=66.0, last_change_point=2026-03-23 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,62,RTGC,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=84.0, last_change_point=2026-03-20 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,83,HEAD_TRUCK,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-06-27 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,93,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=36, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,98,HEAD_TRUCK,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=11, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 1557 CZQ,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=10, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 8984 CY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=6, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9015 UBE,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=66.0, last_change_point=2026-03-11 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9269 UWM,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=13, data_completeness=47.6%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9428 UAT,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=66.0, last_change_point=2026-04-09 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9498 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=9, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9578 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9580 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=6, data_completeness=7.1%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9586 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=12, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9586 BAY,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2025-09-01 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9594 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=11, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9594 BAY,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2025-09-01 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9621 TVC,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2026-06-19 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9623 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=6, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9629 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=10, data_completeness=16.7%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9631 BAY,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9656 UAU,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=60.0, last_change_point=2026-04-07 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9786 BAZ,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=17, data_completeness=23.8%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9801 BAZ,KEND_OPS,Perubahan pola konsumsi yang menetap terdeteksi (bukan sekadar lonjakan sesaat).,"change_point_penalty=100.0, last_change_point=2025-08-11 00:00:00",Bandingkan dengan hour meter dan log operasi unit ini di sekitar tanggal perubahan.,Equipment,2026-08-06,OPEN
MEDIUM,B 9870 CAJ,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,B 9872 CAJ,KEND_OPS,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=22, data_completeness=21.4%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,FRK 17,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=9.5%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,FRK 26,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=9, data_completeness=11.9%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,FRK 28,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=19, data_completeness=47.6%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,FRK 29,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=10, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,FRK 32,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=8, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,RS 01,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=6, data_completeness=45.2%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,RS 02,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=14, data_completeness=19.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,RS 06,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=18, data_completeness=0.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,RS 25,SUPPORT,"Jumlah anomali cukup tinggi, namun kelengkapan data unit ini rendah.","anomaly_count=22, data_completeness=31.0%",Validasi kualitas data sebelum menyimpulkan kondisi unit.,ICT/Data Team,2026-08-06,OPEN
MEDIUM,SEMUA UNIT (BUS),BUS,"Selisih rekonsiliasi signifikan pada kategori BUS untuk bulan: Maret 2025, April 2025, Mei 2025.","n_bulan_bermasalah=3, max_diff_pct=7.1%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
MEDIUM,SEMUA UNIT (ELF),ELF,"Selisih rekonsiliasi signifikan pada kategori ELF untuk bulan: Maret 2025, April 2025.","n_bulan_bermasalah=2, max_diff_pct=7.6%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
MEDIUM,SEMUA UNIT (HEAD_TRUCK),HEAD_TRUCK,"Selisih rekonsiliasi signifikan pada kategori HEAD_TRUCK untuk bulan: Maret 2025, April 2025.","n_bulan_bermasalah=2, max_diff_pct=6.7%",Verifikasi pencatatan pengisian solar kategori ini pada bulan terkait sebelum dipakai untuk kesimpulan operasional.,Fuel Administration,2026-08-06,OPEN
